movie,scene,line,character,text,slug,component
1,134,1262,ANAKIN,"Cold, sir.",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1263,YODA,Afraid are you?,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1264,ANAKIN,"No, sir.",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1265,MACE WINDU,Afraid to give up your life?,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1266,ANAKIN,I don't think so.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1267,narrator,ANAKIN hesitates for a moment.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,action
1,134,1268,YODA,"See through you, we can.",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1269,MACE WINDU,Be mindful of your feelings...,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1270,KI-ADI,YOur thoughts dwell on your mother.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1271,ANAKIN,I miss her.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1272,YODA,Afraid to lose her..I think.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1273,ANAKIN,(a little angry) What's that got to do with anything?,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1274,YODA,Eveything. Fear is the path to the dark side... fear leads to anger... anger leads to hate.. hate leads to suffering.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1275,ANAKIN,(angrily) I am not afraid!,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1276,YODA,"A Jedi must have the deepest commitment, the most serious mind. I sense much fear in you.",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1277,ANAKIN,(quietly) I am not afraid.,INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,134,1278,YODA,"Then continue, we will.",INT. PALACE OF THE JEDI - COUNCIL CHAMBERS - SUNSET,character
1,136,1303,narrator,"ANAKIN, OBI-WAN, and QUI-GON stand before the TWELVE MEMBERS OF THE JEDI COUNCIL.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,136,1304,YODA,"...Correct you were, Qui-Gon.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1305,MACE WINDU,His cells contain a high concentration of midi-chlorians.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1306,KI-ADI,The Force is strong with him.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1307,QUI-GON,"He's to be trained, then.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1308,narrator,The COUNCIL MEMBERS look to one another.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,136,1309,MACE WINDU,No. He will not be trained.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1310,narrator,ANAKIN is crestfallen; tears begin to form in his eyes.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,136,1311,QUI-GON,No??!!,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1312,narrator,OBI-WAN smiles.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,136,1313,MACE WINDU,He is too old. There is already too much anger in him.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1314,QUI-GON,He is the chosen one...you must see it.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1315,YODA,"Clouded, this boy's future is. Masked by his youth.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1316,QUI-GON,"I will trin him, then. I take Anakin as my Padawan learner.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1317,narrator,OBI-WAN reacts with surprise. ANAKIN watches with interest.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,136,1318,YODA,"An apprentice, you have, Qui-Gon. Impossible, to take on a second.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1319,MACE WINDU,We forbid it.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1320,QUI-GON,Obi-Wan is ready...,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1321,OBI-WAN,Iam ready to face the trials.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1322,YODA,"Ready so early, are you? What know you of ready?",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1323,narrator,ANAKIN watches as QUI-GON and OBI-WAN exchange angry looks.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,136,1324,QUI-GON,"Headstrong....and he has much to learn about the living Force, but he is capabe. There is little more he will learn from me.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1325,YODA,"Our own council we will keep on who is ready. More to learn, he has...",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1326,MACE WINDU,"Now is not the time for this...the Senate is voting for a new Spreme Chancellor. Queen Amidala is returning home, which will put pressure on the Federation, and could widen the confrontation.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1327,YODA,And draw out the Queen's attacker.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1328,KI-ADI,Events are moving fast...too fast.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1329,MACE WINDU,Go with the Queen to Naboo and discover the identity of the dark warrior. That is the clue we need to unravel this mystery of the Sith.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1330,YODA,Young Skywalker's fate will be decided later.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1331,QUI-GON,I brought Anakin here; he must stay in my charge. He has nowhere else to go.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1332,MACE WINDU,"He is your ward, Qui-Gon...we will not dispute that.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1333,YODA,"Train him not. Take him with you, but train him not!",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1334,MACE WINDU,"Protect the Queen, but do not intercede if it comes to war until we have the Senate's approval.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1335,YODA,May the Force be with you.,INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,character
1,136,1336,narrator,"OBI-WAN, QUI-GON, and ANAKIN leave.",INT. TEMPLE OF THE JEDI - COUNCIL CHAMBERS - TWILIGHT,action
1,185,1687,narrator,"The sun streams into the multi-windowed room at a low angle. It is not quite sunset. YODA paces before OBI-WAN, who is kneeling in the center of the room.",INT. TURRET ROOM - NABOO PALACE - LATE DAY,action
1,185,1688,YODA,"Confer on you, the level of Jedi Knight the Coucil does. But agree on you taking this boy as your Padawan learner, I do not.",INT. TURRET ROOM - NABOO PALACE - LATE DAY,character
1,185,1689,OBI-WAN,Qui-Gon believed in him. I believe in Qui-Gon.,INT. TURRET ROOM - NABOO PALACE - LATE DAY,character
1,185,1690,YODA,"The Chosen One the boy may be; nevertheless, grave danger I fear in his training.",INT. TURRET ROOM - NABOO PALACE - LATE DAY,character
1,185,1691,OBI-WAN,"Master Yoda, Igave Qui-Gon my word. I will train Anakin. Without the approval of the Council if I must.",INT. TURRET ROOM - NABOO PALACE - LATE DAY,character
1,185,1692,YODA,"Qui-Gon's defiance I sense in you. Need that, you do not. Agree, the council does. Your apprentice, young Skywalker will be.",INT. TURRET ROOM - NABOO PALACE - LATE DAY,character
1,186,1693,narrator,"QUI-GON's body goes up in flames as the JEDI COUNCIL, the QUEEN, SIO BIBBLE, CAPTAIN PANAKA, the HANDMAIDENS, and ABOUT ONE HUNDRED NABOO TROOPES, TWENTY OTHER JEDI, PALPATINE, OBI-WAN (standing with ANAKIN), JAR JAR, BOSS NASS, and TWENTY OTHER GUNGAN WARRIORS watch. There is a drum roll that stops. Doves are released, and the body is gone. ANAKIN looks to OBI-WAN.",EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,action
1,186,1694,OBI-WAN,"He is one with the Force, Anakin...You must let go.",EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,character
1,186,1695,ANAKIN,What will happen to me now?,EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,character
1,186,1696,OBI-WAN,"I am your Master now. You will become a Jedi, I promise.",EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,character
1,186,1697,narrator,"To one side, MACE WINDU turns to YODA.",EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,action
1,186,1698,MACE WINDU,There is no doubt. The mysterious warrior was a Sith.,EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,character
1,186,1699,YODA,Always two there are....no more...no less. A master and an apprentice.,EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,character
1,186,1700,MACE WINDU,"But which one was destroyed, the master or the apprentice?",EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,character
1,186,1701,narrator,They give each other a concerned look.,EXT. THEED - CENTRAL PLAZA - FUNERAL TEMPLE STEPS - SUNSET,action
3,77,543,narrator,"YODA and ANAKIN sit in Yoda 's room, deep in thought.",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,action
3,77,544,YODA, Premonitions . . . premonitions . . . Hmmmm . . . these visions you have . . .,77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,545,ANAKIN," They are of pain, suffering, death . . .",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,546,YODA," Yourself you speak of, or someone you know?",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,547,ANAKIN, Someone . . .,77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,548,YODA, . . . close to you?,77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,549,ANAKIN, Yes.,77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,550,YODA," Careful you must be when sensing the future, Anakin. The fear of loss is a path to the dark side.",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,551,ANAKIN," I won't let these visions come true, Master Yoda.",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,552,YODA," Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not. Attachment leads to jealousy. The shadow of greed, that is.",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,553,ANAKIN," What must I do, Master Yoda?",77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,77,554,YODA, Train yourself to let go of everything you fear to lose.,77 INT. CORUSCANT-JEDI TEMPLE-YODAS QUARTERS-DAY,character
3,83,617,narrator,"ANAKIN enters and stands in the middle of the room. He is surrounded by the Jedi Council MACE WINDU, EETH KOTH OBI-WAN, YODA, the HOLOGRAMS of PLO KOON and KI-ADI-MUNDI.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,action
3,83,618,MACE," Anakin Skywalker, we have approved your appointment to the Council as the Chancellor's personal representative.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,619,ANAKIN, I will do my best to uphold the principles of the Jedi Order.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,620,YODA," Allow this appointment lightly, the Council does not. Disturbing is this move by Chancellor Palpatine.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,621,ANAKIN, I understand.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,622,MACE," You are on this Council, but we do not grant you the rank of Master.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,623,narrator,Anakin reacts with anger.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,action
3,83,624,ANAKIN," What? ! How can you do this?? This is outrageous, it's unfair . . . I'm more powerful than any of you. How can you be on the Council and not be a Master?",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,625,MACE," Take a seat, young Skywalker.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,626,ANAKIN," Forgive me, Master.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,627,narrator,"ANAKIN goes and sits in one of the empty chairs. Everyone is embarrassed. KI-ADI-MUNDI WHO APPEARS AS A HOLOGRAM, speaks.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,action
3,83,628,Kl-ADI-MUNDI," We have surveyed all systems in the Republic, and have found no sign of General Grievous.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,629,YODA," Hiding in the Outer Rim, Grievous is. The outlying systems, you must sweep.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,630,OBI-WAN, It may take some time . . . we do not have many ships to spare.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,631,MACE, We cannot take ships from the front line.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,632,OBI-WAN," And yet, it would be fatal for us to allow the droid armies to regroup.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,633,YODA," Master Kenobi, our spies contact, you must, and then wait.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,634,Kl-ADI-MUNDI, What about the droid attack on the Wookiees?,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,635,MACE," It is critical we send an attack group there, immediately!",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,636,OBI-WAN," He's right, that is a system we cannot afford to lose. It's the main navigation route for the southwestern quadrant.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,637,ANAKIN, I know that system well. It would take us little time to drive the droids off that planet.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,638,MACE," Skywalker, your assignment is here with the Chancellor, and Kenobi must find General Grievous.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,639,YODA," Go, I will. Good relations with the Wookiees, I have.",83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,640,MACE, It is settled then. Yoda will take a battalion of clones to reinforce the Wookiees on Kashyyyk. May the Force be with us all.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,character
3,83,641,narrator,ANAKIN is disappointed.,83 INT. CORUSCANT-JEDI TEMPLE-COUNCIL CHAMBERS-DAY,action
3,86,672,narrator,"YODA, MACE, and OBI-WAN ride in the GUNSHIP as it heads for the Clone landing platform. Mace and Obi-Wan are sitting.",86 INT. CORUSCANT-JEDI GUNSHIP-DAY,action
3,86,673,OBI-WAN , Anakin did not take to his assignment with much enthusiasm.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,674,YODA," Too much under the sway of the Chancellor, he is. Much anger there is in him. Too much pride in his powers.",86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,675,MACE," It's very dangerous, putting them together. I don't think the boy can handle it. I don't trust him.",86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,676,OBI-WAN, He'll be all right. I trust him with my life.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,677,MACE,I wish I did.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,678,OBI-WAN," With all due respect, Master, is he not the Chosen One? Is he not to destroy the Sith and bring balance to the Force?",86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,679,MACE, So the prophecy says.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,680,YODA, A prophecy . . . that misread could have been.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,681,OBI-WAN, He will not let me down. He never has.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,682,YODA," I hope right you are. And now destroy the Droid armies on Kashyyyk, I will. May the Force be with you.",86 INT. CORUSCANT-JEDI GUNSHIP-DAY,character
3,86,683,narrator,The GUNSHIP lands and the ramp lowers. YODA exits the GUNSHIP. MACE and OBI-WAN stand and give him a brief bow then take off in the GUNSHIP.,86 INT. CORUSCANT-JEDI GUNSHIP-DAY,action
3,90,770,narrator,"YODA and various JEDI speak via hologram. The discussion includes OBI-WAN, MACE, AGEN KOLAR, YODA- KI-ADI-MUNDI and PLO KOON.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,771,Kl-ADI-MUNDI, (holo) Palpatine thinks General Grievous is on Utapau. We have had no reports of this from our agents.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,772,MACE, (holo) How could the Chancellor have come by this information and we know nothing about it? We have had contact with Baron Papanoida and he said no one was there.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,773,ANAKIN, A partial message was intercepted in a diplomatic packet from the Chairman of Utapau.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,774,YODA," Act on this, we must. The capture of General Grievous will end this war. Quickly and decisively we should proceed.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,775,OBI-WAN, Does everyone agree?,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,776,narrator,All the JEDI concur.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,777,ANAKIN, The Chancellor has requested that I lead the campaign.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,778,narrator,They all look at ANAKIN a bit disturbed.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,779,MACE," (a little peeved) The Council will make up its own mind who is to go, not the Chancellor.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,780,Kl-ADI-MUNDI," Yes, this decision is ours to make.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,781,narrator,ANAKIN is embarrassed and becomes sullen.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,782,YODA," A Master is needed, with more experience.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,783,MACE," Given our resources, I recommend we send only one Jedi . . . Master Kenobi.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,784,ANAKIN, He was not so successful the last time he met Grievous.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,785,narrator,OBI-WAN throws ANAKIN a dirty look.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,786,ANAKIN," (continuing) No offense, my Master, but I'm only stating a fact.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,787,OBI-WAN," Oh no, you're quite right, but I do have the most experience with his ways of combat.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,788,YODA," Obi-Wan, my choice is.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,789,Kl-ADI-MUNDI, I concur. Master Kenobi should go.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,790,YODA, I agree.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,791,narrator,All the JEDI concur.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,792,MACE, Very well. Council is adjourned.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,90,793,narrator,ANAKIN is angry.,90 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,90,794,MACE," (continuing) Obi-Wan, prepare two clone brigades as quickly as you can. If this report is true, there's no telling how many battle droids he may have with him.",90 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,91,795,narrator,YODA gets out of his chair and walks to the edge of the platform.,91 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,91,796,CLONE COMMANDER GREE, The droids have started up their main power generators.,91 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,91,797,YODA," Then now the time is, Commander.",91 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,91,798,CLONE COMMANDER GREE," Yes, sir.",91 INT. KASHYYYK-HOLOGRAM AREA-DAY,character
3,91,799,narrator,The battle begins.,91 INT. KASHYYYK-HOLOGRAM AREA-DAY,action
3,117,1003,narrator,"KI-ADI-MUNDI, ANAKIN, YODA, MACE, CLONE COMMANDER CODY, and AAYLA SECURA talk via holograms.",117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,action
3,117,1004,CLONE COMMANDER CODY," Master Windu, may I interrupt? General Kenobi has made contact with General Grievous, and we",117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,character
3,117,1005,narrator,have begun our attack.,117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,action
3,117,1006,MACE WlNDU," Thank you, Commander. Anakin, deliver this report to the Chancellor. His reaction will give us a clue to his",117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,character
3,117,1007,narrator,intentions.,117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,action
3,117,1008,ANAKIN," Yes, Master.",117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,character
3,117,1009,narrator,ANAKIN leaves the room. COMMANDER CODY's hologram disappears.,117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,action
3,117,1010,MACE WINDU, I sense a plot to destroy the Jedi. The dark side of the Force surrounds the Chancellor.,117 INT. CORUSCANT-JEDI WAR ROOM-EARLY EVENING,character
