,Unnamed: 0,Name,Url,Intelligence,Strength,Speed,Durability,Power,Combat,Full name,Alter Egos,Aliases,Place of birth,First appearance,Creator,Alignment,Gender,Race,Height,Weight,Eye color,Hair color,Occupation,Base,Team Affiliation,Relatives,Skin color,Total Power
10,10,Agent Bob,/agent-bob/10-10255/,60.0,10.0,15.0,5.0,5.0,20.0,Bob,No alter egos found.,"Bob, agent of Hydra, Bob, agent of A.I.M",-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,Male,Human,5'10 // 178 cm,181 lb // 81 kg,Brown,Brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","Agency X, A.I.M., Formerly: HYDRA",Allison (ex-wife); Terry and Howie (sons),,115.0
11,11,Agent Zero,/agent-zero/10-396/,90.0,30.0,40.0,80.0,75.0,95.0,Christoph Nord,No alter egos found.,Maverick,Unrevealed location in former East Germany,-,Marvel Comics,good,Male,-,6'3 // 191 cm,230 lb // 104 kg,-,-,"Mercenary, former government operative, freedom fighter",-,"A.R.M.O.R., Wrecking Crew","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",,410.0
12,12,Air-Walker,/air-walker/10-1358/,80.0,85.0,100.0,85.0,100.0,40.0,Gabriel Lan,No alter egos found.,-,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,bad,Male,-,6'2 // 188 cm,240 lb // 108 kg,Blue,White,"Former starship captain, Herald of Galactus",-,Formerly: Heralds of Galactus,-,,490.0
13,13,Ajax,/ajax/10-10422/,80.0,50.0,35.0,80.0,35.0,55.0,Francis,Ajax (FOX),"""Frankie"", the A-Man, the Attending",-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Male,Cyborg,6'4 // 193 cm,200 lb // 90 kg,Brown,Black,-,-,No team connections added yet.,-,,335.0
14,14,Alex Mercer,/alex-mercer/10-10398/,80.0,80.0,45.0,90.0,100.0,50.0,Alexander J. Mercer,No alter egos found.,"Prototype, Zues, Blacklight",-,-,Wildstorm,bad,Male,Human,- // 0 cm,- lb // 0 kg,-,-,-,-,No team connections added yet.,Dana Mercer (sister),,445.0
15,15,Alex Woolsly,/alex-woolsly/10-1309/,55.0,35.0,40.0,45.0,35.0,40.0,Alex Woolsly,No alter egos found.,-,-,Heroes S02E16 - Building 26,NBC - Heroes,good,Male,-,- // 0 cm,- lb // 0 kg,-,-,Employee at Sam's Comics,"Costa Verde, CA",No team connections added yet.,"Mr. Woolsly, Mrs. Woolsly, sister",,250.0
16,16,Alfred Pennyworth,/alfred-pennyworth/10-628/,85.0,10.0,20.0,10.0,10.0,55.0,Alfred Thaddeus Crane Pennyworth,No alter egos found.,Alfred Beagle,-,"Batman #16 (April, 1943)",DC Comics,good,Male,Human,5'10 // 178 cm,160 lb // 72 kg,Blue,Black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Formerly: The Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",,190.0
17,17,Alien,/alien/10-10449/,80.0,30.0,45.0,90.0,60.0,60.0,Xenomorph,No alter egos found.,-,Your chest :),Alien (1979),Dark Horse Comics,bad,Male,Xenomorph XX121,8'0 // 244 cm,375 lb // 169 kg,-,No Hair,-,-,No team connections added yet.,Alien Queen (mother),Black,365.0
18,18,Allan Quatermain,/allan-quatermain/10-630/,,,,,,,-,No alter egos found.,-,-,(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics),Wildstorm,good,Male,-,- // 0 cm,- lb // 0 kg,-,-,(former) hunter; (current) agent of the British government,"The Secret Wing of the British Museum, London",League of Extraordinary Gentlemen (Leader),-,,0.0
19,19,Amazo,/amazo/10-1390/,85.0,100.0,85.0,100.0,100.0,100.0,-,No alter egos found.,"Professor Ivos Amazing Android, Timazo, Humazo, Hourmazo",-,"Brave and the Bold #30 (July, 1960)",DC Comics,bad,Male,Android,8'5 // 257 cm,385 lb // 173 kg,Red,-,-,-,"Formerly: Secret Society of Super-Villains, The Society","Professor Ivo (creator), Kid Amazo (cyborg offspring)",,570.0
20,20,Ammo,/ammo/10-184/,35.0,45.0,35.0,35.0,25.0,70.0,-,No alter egos found.,-,-,"Daredevil #252 (March, 1988)",Marvel Comics,bad,Male,Human,6'2 // 188 cm,225 lb // 101 kg,Brown,Black,"Gang leader , criminal , former soldier",New York City,No team connections added yet.,-,,245.0
21,21,Ando Masahashi,/ando-masahashi/10-1310/,35.0,25.0,30.0,60.0,65.0,30.0,Ando Masahashi,No alter egos found.,"Huggerz69, Sidekick",-,-,NBC - Heroes,good,Male,-,- // 0 cm,- lb // 0 kg,-,-,Yamagato Industries computer programmer,-,No team connections added yet.,-,,245.0
22,22,Angel,/angel/10-829/,85.0,15.0,50.0,65.0,30.0,45.0,Warren Kenneth Worthington III,"Angel (FOX), Archangel, Archangel (FOX)","Formerly Death, Dark Angel, Angel, Avenging Angel, Archangel","Centerport, Long Island, New York",X-Men #54-56 (1969),Marvel Comics,good,Male,-,6'0 // 183 cm,150 lb // 68 kg,Blue,Blond,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",-,"Cerebro's X-Men, X-Men, Champions, Champions of Los Angeles, Formerly: X-Factor, Four Horsemen of Apocalypse","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin",,290.0
23,23,Angel,/angel/10-10431/,90.0,30.0,60.0,90.0,100.0,75.0,Liam,No alter egos found.,"Angelus, Twilight",-,-,Dark Horse Comics,good,Male,Vampire,- // 0 cm,- lb // 0 kg,-,-,-,-,Formerly: Scooby Gang,"Kathy (sister), Connor (son), Twilight (""child"")",,445.0
24,24,Angel Dust,/angel-dust/10-10405/,75.0,55.0,25.0,45.0,20.0,30.0,Christina,Angel Dust (FOX),"Angel, Dusty",-,Morlocks #1,Marvel Comics,good,Female,Mutant,5'5 // 165 cm,126 lb // 57 kg,Yellow,Black,-,"Chicago, Illinois",All-Winners Squad,-,,250.0
25,25,Angel Salvadore,/angel-salvadore/10-1406/,75.0,10.0,30.0,30.0,60.0,60.0,Angel Salvadore Bohusk,Tempest,Tempest,-,"New X-Men #118 (November, 2001)",Marvel Comics,good,Female,-,5'4 // 163 cm,121 lb // 54 kg,Brown,Black,-,-,No team connections added yet.,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;,,265.0
26,26,Angela,/angela/10-1070/,95.0,100.0,100.0,100.0,100.0,100.0,-,No alter egos found.,-,-,-,Image Comics,bad,Female,-,- // 0 cm,- lb // 0 kg,-,-,-,-,No team connections added yet.,-,,595.0
27,27,Animal Man,/animal-man/10-632/,80.0,50.0,50.0,85.0,75.0,80.0,Bernhard Baker,Life,The Human Zoo; A-Man; The Man with Animal Powers,-,"Strange Adventures #180 (September, 1965)",DC Comics,good,Male,Human,6'0 // 183 cm,185 lb // 83 kg,Blue,Blond,-,"San Diego, California","Justice League Europe, Formerly: Justice League of America, Time Masters","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",,420.0
28,28,Annihilus,/annihilus/10-1307/,90.0,80.0,50.0,60.0,60.0,65.0,Annihilus,No alter egos found.,"The Living Death That Walks, Lord of the Negative Zone","Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),Marvel Comics,bad,Male,-,5'11 // 180 cm,200 lb // 90 kg,Green,No Hair,"Conqueror, scavenger",-,No team connections added yet.,Annihilus is a series of clonal scions,,405.0
29,29,Ant-Man,/ant-man/10-857/,100.0,20.0,25.0,30.0,35.0,35.0,Henry Jonathan Pym,"Ant-Man (MCU), Giant-Man, Goliath, Ultron, Wasp II, Yellowjacket","Hank Pym, Doctor Pym, Ant-Man, Goliath, Yellowjacket, Wasp, Earth's Scientist Supreme","Elmsford, New York","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)",Marvel Comics,good,Male,Human,6'11 // 211 cm,270 lb // 122 kg,Blue,Blond,"Adventurer, Biochemist, former manager of Avengers Compound","Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York","Avenging Host, New Warriors, Secret Defenders, Mighty Avengers, Avengers West Coast, Formerly: Avengers",-,,245.0
30,30,Ant-Man II,/ant-man-ii/10-166/,90.0,20.0,20.0,40.0,55.0,30.0,Scott Lang,Ant-Man II (MCU),"Myrmidon, Scott Edward Harris Lang","Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",Marvel Comics,good,Male,Human,6'0 // 183 cm,190 lb // 86 kg,Blue,Blond,"Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Defenders, Marvel Knights, Formerly: Future Foundation, Avengers","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",,255.0
31,31,Anti-Monitor,/anti-monitor/10-1292/,95.0,100.0,50.0,100.0,100.0,90.0,-,"Anti-Monitor II, Black Lantern, Yellow Lantern","Monitor, Mobius",Moon of Qward,Crisis on Infinite Earths #4,DC Comics,bad,Male,God / Eternal,200 // 61.0 meters,- lb // 0 kg,Yellow,No Hair,-,"Qward, Antimatter Universe","Sinestro Corps, Black Lantern Corps","Monitor (""brother""), The Monitors",,535.0
32,32,Anti-Spawn,/anti-spawn/10-1071/,75.0,60.0,55.0,65.0,70.0,65.0,Jason Wynn,No alter egos found.,Redeemer,-,Spawn #16,Image Comics,bad,Male,-,- // 0 cm,- lb // 0 kg,-,-,-,-,No team connections added yet.,-,,390.0
33,33,Anti-Venom,/anti-venom/10-1485/,90.0,60.0,65.0,90.0,100.0,85.0,Edward Charles Allan Brock,"Toxin, Venom, Venom (Sony Movie)","Eddie, Edwin Brock, Venom, Lethal Protector, White Venom, 998th","San Francisco, California",Amazing Spider-Man #569 (as Anti-Venom),Marvel Comics,-,Male,Symbiote,7'6 // 229 cm,795 lb // 358 kg,Blue,Blond,Vigilante; former journalist for the Daily Globe,"New York, New York",No team connections added yet.,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)",,490.0
34,34,Apocalypse,/apocalypse/10-852/,100.0,100.0,35.0,100.0,100.0,60.0,En Sabah Nur,Apocalypse (FOX),"The Eternal One, the High Lord, Set, Huitxilopochti, Sauru, Kali-Ma","Akkaba, Egypt","X-Factor #5 (June, 1986)",Marvel Comics,bad,Male,Mutant,7'0 // 213 cm,300 lb // 135 kg,Red,Black,Student; formerly Conqueror; Scientist,"Celestial Ship, mobile","Alliance of Evil (Leader), Four Horsemen of Apocalypse (Leader), Apocalypse's Horsemen (Leader), Gods","Baal of the Crimson Sands (adopted father, deceased)",Grey,495.0
35,35,Aquababy,/aquababy/10-1389/,60.0,20.0,15.0,15.0,40.0,15.0,"Arthur Curry, Jr.",No alter egos found.,-,-,"Aquaman #23 (October, 1965)",DC Comics,good,Male,-,- // 0 cm,- lb // 0 kg,Blue,Blond,-,Atlantis,"Aquaman Family, Justice League Atlantis","Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",,165.0
36,36,Aqualad,/aqualad/10-1395/,85.0,45.0,45.0,75.0,90.0,60.0,Garth,No alter egos found.,-,"Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)",DC Comics,good,Male,Atlantean,5'10 // 178 cm,235 lb // 106 kg,Blue,Black,"Adventurer; Magician, former Sidekick",Atlantis,"Justice League Atlantis, Formerly: Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",,400.0
37,37,Aquaman,/aquaman/10-634/,95.0,85.0,80.0,80.0,100.0,80.0,Orin,Aquaman (DCEU),"Dweller in the Depths, Swimmer, Waterbearer, Mental Man, Aquaboy, Water Wraith",Atlantis,"More Fun Comics #73 (November, 1941)",DC Comics,good,Male,Atlantean,6'1 // 185 cm,325 lb // 146 kg,Blue,Blond,"Protector of the Seas and Oceans, King of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Aquaman Family (Leader), Justice League Atlantis (Leader), Superfriends, Justice League Europe, Justice League Antarctica, Justice League, Formerly: Black Lantern Corps, Justice League of America","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)",,520.0
38,38,Arachne,/arachne/10-882/,80.0,50.0,50.0,70.0,75.0,70.0,Julia Carpenter,No alter egos found.,"Spider-Woman, Madame Web","Los Angeles, California",Marvel Super Heroes Secret Wars #6,Marvel Comics,good,Female,Human,5'9 // 175 cm,140 lb // 63 kg,Blue,Blond,"Adventurer, fugitive, former government agent","Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California",Formerly: Avengers,"Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",,395.0
39,39,Archangel,/archangel/10-838/,85.0,15.0,60.0,65.0,35.0,45.0,Warren Kenneth Worthington III,"Angel, Angel (FOX), Archangel (FOX)","War, Dark Angel, Death, Avenging Angel","Centerport, Long Island, New York","X-Men #1 (September, 1963)",Marvel Comics,good,Male,Mutant,6'0 // 183 cm,150 lb // 68 kg,Blue,Blond,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",-,"Secret Defenders, Apocalypse's Horsemen, X-Force, Formerly: X-Men, Horsemen of Apocalypse","Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin",Blue,305.0
40,40,Arclight,/arclight/10-832/,75.0,65.0,25.0,45.0,55.0,70.0,Philippa Sontag,No alter egos found.,-,Vietnam,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)",Marvel Comics,bad,Female,-,5'8 // 173 cm,126 lb // 57 kg,Violet,Purple,Terrorist,-,No team connections added yet.,-,,335.0
41,41,Ardina,/ardina/10-10132/,85.0,100.0,100.0,80.0,100.0,25.0,-,No alter egos found.,-,-,The Order #4,Marvel Comics,good,Female,Alien,6'4 // 193 cm,218 lb // 98 kg,White,Orange,-,-,"Defenders, Formerly: Heralds of Galactus","Norrin Radd (Silver Surfer, clonal source), Clea (creator)",Gold,490.0
42,42,Ares,/ares/10-1118/,90.0,85.0,35.0,80.0,85.0,105.0,-,No alter egos found.,"God of War, Mister Talon, Mars, Warhawk",-,Thor #129,Marvel Comics,good,Male,-,6'1 // 185 cm,600 lb // 270 kg,Brown,Brown,-,"Avengers Tower, formerly Olympus","Gods, Olympians, Dark Avengers, God Squad, Mighty Avengers, Formerly: Avengers","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",,480.0
43,43,Ares,/ares/10-11200/,90.0,100.0,75.0,100.0,100.0,100.0,-,No alter egos found.,"God of War, Mars",-,-,DC Comics,neutral,Male,God / Eternal,6'10 // 208 cm,359 lb // 162 kg,Red,Black,"God of Conflict, God of War","Hades, formerly Areopagus, Mount Olympus",No team connections added yet.,"Zeus (father), Hera (mother), Eris (sister), Harmonia, Lyta, Hippolyta (daughters), Eros, Phobos, Deimos, Lycus (sons), Children of Ares",,565.0
44,44,Ariel,/ariel/10-1348/,80.0,10.0,15.0,15.0,95.0,30.0,Ariel,No alter egos found.,-,-,Fallen Angels #1 (1987),Marvel Comics,good,Female,-,5'5 // 165 cm,130 lb // 59 kg,Purple,Pink,"Leader, refugee alien; former alien mutant-hunter and hedonist",-,No team connections added yet.,-,,245.0
45,45,Armor,/armor/10-1347/,80.0,65.0,15.0,80.0,55.0,55.0,Hisako Ichiki,No alter egos found.,"X-Girl, Kid",-,Astonishing X-Men #4 (2004),Marvel Comics,good,Female,-,5'4 // 163 cm,112 lb // 50 kg,Black,Black,"Adventurer, student",-,Formerly: X-Men,-,,350.0
46,46,Arsenal,/arsenal/10-1014/,80.0,55.0,60.0,60.0,65.0,85.0,"Roy William Harper, Jr.",Speedy,-,-,-,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,-,-,-,-,"Titans, Outsiders, Formerly: Outlaws",-,,405.0
47,47,Atlas,/atlas/10-878/,85.0,80.0,25.0,100.0,100.0,50.0,Erik Stephan Josten,"Goliath, Power Man, Smuggler","Power Man, Smuggler, Goliath, Shatterfist, Intruder from Beyond, Edward Jantzen","Milwaukee, Wisconsin",Incredible Hulk #449,Marvel Comics,good,Male,Mutant,6'0 // 183 cm,225 lb // 101 kg,Brown,Red,"Adventurer; former professional criminal, mercenary, dock worker, soldier",-,"Gods, Thunderbolts, Formerly: Revengers, Mandarin's Minions","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)",,440.0
48,48,Atlas,/atlas/10-10838/,85.0,100.0,45.0,100.0,30.0,80.0,-,No alter egos found.,"Atlas the Great, Atlas the Untamed",Crystal Mountain,Action Comics #121,DC Comics,bad,Male,God / Eternal,6'6 // 198 cm,280 lb // 126 kg,Blue,Brown,-,"Formely; Hyssa, Metropolis",No team connections added yet.,-,,440.0
49,49,Atom,/atom/10-934/,90.0,95.0,75.0,95.0,90.0,85.0,Albert Pratt,No alter egos found.,"Little Superman, the Mighty Mite",-,All American Comics #19,DC Comics,good,Male,-,5'10 // 178 cm,150 lb // 68 kg,Blue,Red,"Adventurer, Retired Professor of Nuclear Physics","GBS Building, Gotham City (former) Calvin College on Earth-Two",Formerly: Justice Society of America,"Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)",,530.0
50,50,Atom,/atom/10-1379/,,,,,,,-,No alter egos found.,-,-,-,DC Comics,good,Male,-,- // 0 cm,- lb // 0 kg,-,-,-,-,Justice League (Leader),-,,0.0
51,51,Atom Girl,/atom-girl/10-1180/,75.0,10.0,25.0,30.0,40.0,45.0,Salu Digby,No alter egos found.,Shrinking Violet,-,Teen Titans/Legion Special #1 (2004),DC Comics,good,Female,-,5'6 // 168 cm,120 lb // 54 kg,Black,Black,-,"United Planets, 31st century",No team connections added yet.,-,,225.0
52,52,Atom II,/atom-ii/10-938/,95.0,10.0,35.0,45.0,40.0,60.0,Raymond Palmer,No alter egos found.,"The Mighty Mite, the Tiny Titan, the World's Smallest Hero",-,Showcase #34,DC Comics,good,Male,Human,6'0 // 183 cm,180 lb // 81 kg,Brown,Auburn,Physics Professor,Ivy Town,"Justice Legion Alpha, Superfriends, Formerly: Suicide Squad, Justice League","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",,285.0
53,53,Atom III,/atom-iii/10-939/,,,,,,,Adam Cray,No alter egos found.,-,-,Suicide Squad (Volume 1) #44,DC Comics,good,Male,-,- // 0 cm,- lb // 0 kg,-,Red,-,-,No team connections added yet.,"Senator Cray (father, deceased)",,0.0
54,54,Atom IV,/atom-iv/10-940/,85.0,55.0,55.0,55.0,60.0,65.0,Ryan Choi,No alter egos found.,-,-,Brave New World #1,DC Comics,good,Male,-,- // 0 cm,160 lb // 72 kg,Brown,Black,Professor of nuclear physics at Ivy University,Ivy Town,Justice League of America,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).,,375.0
55,55,Aurora,/aurora/10-1289/,85.0,10.0,100.0,60.0,75.0,60.0,Jeanne-Marie Beaubier,No alter egos found.,Sister Beaubier,"Montreal, Quebec, Canada",X-Men #121 (1979),Marvel Comics,good,Female,Mutant,5'11 // 180 cm,140 lb // 63 kg,Blue,Black,"Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Neo-Knights, Royal Canadian Mounted Police, Alpha Flight, Formerly: X-Men, Weapon X, Headbangers, Children of the Vault","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",,390.0
